Filename,Anomaly_Score,MSE,SSIM_Delta,Is_Anomaly
tile_20156.npy,0.27585846,0.0039166426,0.5478003,False
tile_24573.npy,0.27585527,0.0034269455,0.5482836,False
tile_5147.npy,0.2758386,0.0045935945,0.5470836,False
tile_3203.npy,0.27581295,0.003735025,0.5478909,False
tile_23065.npy,0.27581254,0.004495321,0.54712975,False
tile_15535.npy,0.27575782,0.0039033378,0.5476123,False
tile_26681.npy,0.275721,0.0032713711,0.5481707,False
tile_9154.npy,0.2757016,0.0034752423,0.547928,False
tile_23448.npy,0.27568072,0.0041559404,0.5472055,False
tile_27723.npy,0.27562737,0.0036586523,0.5475961,False
tile_20741.npy,0.27561098,0.0039392323,0.54728276,False
tile_21733.npy,0.27557692,0.004219704,0.5469341,False
tile_30199.npy,0.2755494,0.0032881123,0.54781073,False
tile_25009.npy,0.27552375,0.0042441394,0.54680336,False
tile_26914.npy,0.27550587,0.0038627787,0.54714894,False
tile_22663.npy,0.2753807,0.0040341737,0.54672724,False
tile_26886.npy,0.27535334,0.004134493,0.5465722,False
tile_6559.npy,0.27533534,0.0034941307,0.54717654,False
tile_6553.npy,0.2753054,0.0042375317,0.54637325,False
tile_15753.npy,0.27522233,0.0039395904,0.5465051,False
tile_28115.npy,0.2752059,0.0040433533,0.5463685,False
tile_19356.npy,0.27519283,0.004346297,0.54603934,False
tile_23274.npy,0.2751697,0.004352958,0.5459864,False
tile_11397.npy,0.27515164,0.0043699797,0.5459333,False
tile_15018.npy,0.27512765,0.0043775113,0.5458778,False
tile_28830.npy,0.27504656,0.004180128,0.545913,False
tile_21258.npy,0.27504337,0.003446482,0.5466403,False
tile_15158.npy,0.27503532,0.0040209168,0.5460497,False
tile_24853.npy,0.27500448,0.0042355857,0.5457734,False
tile_25189.npy,0.27495196,0.0036652524,0.54623866,False
tile_20150.npy,0.27493128,0.003805231,0.54605734,False
tile_16688.npy,0.2749161,0.0045968224,0.5452354,False
tile_21360.npy,0.27485633,0.0038413047,0.5458714,False
tile_7411.npy,0.27475044,0.0042772694,0.5452236,False
tile_26658.npy,0.27474478,0.0041087368,0.54538083,False
tile_28131.npy,0.27467445,0.0037091817,0.5456397,False
tile_27359.npy,0.2746266,0.0036354628,0.54561776,False
tile_18774.npy,0.27459964,0.0039334814,0.5452658,False
tile_27768.npy,0.27459678,0.003968291,0.54522526,False
tile_24929.npy,0.27451977,0.0038208305,0.5452187,False
tile_7753.npy,0.27449235,0.003686742,0.545298,False
tile_14999.npy,0.27443773,0.0042602504,0.5446152,False
tile_26378.npy,0.2743794,0.004392118,0.54436666,False
tile_7702.npy,0.27434218,0.0035002367,0.54518414,False
tile_26539.npy,0.27432302,0.004274233,0.5443718,False
tile_17723.npy,0.27432147,0.0034156186,0.5452273,False
tile_23518.npy,0.2742953,0.0049920618,0.54359853,False
tile_28299.npy,0.2742728,0.0037303767,0.54481524,False
tile_27714.npy,0.2742096,0.003776757,0.54464245,False
tile_29836.npy,0.27416635,0.0034762744,0.5448564,False
tile_30005.npy,0.27415773,0.0036712564,0.54464424,False
tile_15167.npy,0.27406493,0.004084525,0.5440453,False
tile_21546.npy,0.2740106,0.0041660964,0.5438551,False
tile_25785.npy,0.27399155,0.0026027702,0.54538035,False
tile_9323.npy,0.27398607,0.0033418667,0.5446303,False
tile_13960.npy,0.2739737,0.003542915,0.5444045,False
tile_22052.npy,0.27396297,0.003469815,0.5444561,False
tile_23020.npy,0.27395838,0.0038213013,0.54409546,False
tile_25510.npy,0.2739551,0.003721849,0.5441884,False
tile_26866.npy,0.27393746,0.003898014,0.5439769,False
tile_23093.npy,0.27392536,0.0033139004,0.5445368,False
tile_29694.npy,0.27390206,0.0034664348,0.5443377,False
tile_21703.npy,0.273881,0.0034896831,0.5442723,False
tile_18985.npy,0.27382815,0.0046222867,0.543034,False
tile_21705.npy,0.27380565,0.003590836,0.5440205,False
tile_19933.npy,0.27379584,0.0035292348,0.54406244,False
tile_28792.npy,0.27376282,0.003726474,0.54379916,False
tile_20108.npy,0.27375665,0.0039602094,0.5435531,False
tile_30363.npy,0.27371404,0.004402801,0.54302526,False
tile_23604.npy,0.2736965,0.003934224,0.5434588,False
tile_30716.npy,0.27369317,0.004383981,0.54300237,False
tile_10035.npy,0.2736845,0.004366708,0.5430023,False
tile_24626.npy,0.27367836,0.0035724402,0.54378426,False
tile_14832.npy,0.2736624,0.003435562,0.5438892,False
tile_23871.npy,0.27363822,0.0036383308,0.5436381,False
tile_24061.npy,0.2735974,0.003818437,0.5433763,False
tile_17596.npy,0.27349705,0.0037513422,0.54324275,False
tile_21375.npy,0.2734311,0.0038082532,0.5430539,False
tile_12961.npy,0.27343088,0.003601861,0.5432599,False
tile_18931.npy,0.27340588,0.0036745695,0.5431372,False
tile_26891.npy,0.27339244,0.0033931695,0.5433917,False
tile_20219.npy,0.27337676,0.003716932,0.5430366,False
tile_26413.npy,0.27332613,0.0046381284,0.5420141,False
tile_28278.npy,0.2733133,0.0041786805,0.5424479,False
tile_23777.npy,0.2733005,0.0036286034,0.5429724,False
tile_21515.npy,0.27329168,0.0030990392,0.54348433,False
tile_21441.npy,0.27328596,0.0035267756,0.54304516,False
tile_21790.npy,0.27328375,0.004203906,0.5423636,False
tile_3945.npy,0.27328023,0.0037587443,0.54280174,False
tile_25702.npy,0.27324057,0.0040493403,0.5424318,False
tile_16223.npy,0.27320674,0.0033375847,0.5430759,False
tile_29147.npy,0.27320457,0.0038409275,0.5425682,False
tile_25458.npy,0.27319205,0.0032680267,0.5431161,False
tile_8814.npy,0.27317536,0.0034848237,0.5428659,False
tile_21878.npy,0.27314675,0.004143688,0.5421498,False
tile_29659.npy,0.27314645,0.003503073,0.5427898,False
tile_11459.npy,0.2730827,0.0031895933,0.54297584,False
tile_8983.npy,0.27307323,0.003762302,0.54238415,False
tile_15331.npy,0.27306956,0.0044339434,0.5417052,False
tile_18766.npy,0.27305722,0.0033786078,0.5427358,False
tile_26856.npy,0.2730502,0.0032158815,0.54288447,False
tile_7407.npy,0.27304667,0.0042134286,0.5418799,False
tile_19761.npy,0.27303994,0.003543913,0.54253596,False
tile_25506.npy,0.27303743,0.003468181,0.5426067,False
tile_11685.npy,0.27303553,0.003176713,0.54289436,False
tile_15819.npy,0.2730034,0.003656882,0.54234993,False
tile_22202.npy,0.27294904,0.0033748501,0.5425232,False
tile_7356.npy,0.27290198,0.003459962,0.542344,False
